title,pair_id,sent_id,complex,label,simple,simp_sent_id,doc_pos,doc_quint,doc_len,pred,pred_l
Boisleux-Saint-Marc,1316,0,Boisleux-Saint-Marc is a commune in the Pas-de-Calais department in the Hauts-de-France region in northern France.,rephrase,['Boisleux-Saint-Marc is a commune.'],0,1.0,5,1,The first place was a commune in the Hauts-de-Calais department in northern France.,1
Yekaterina Gamova,1429,0,Yekaterina Aleksandrovna Gamova ( ; born 17 October 1980) is a retired Russian volleyball player.,ignore,['Yekaterina Aleksandrovna Gamova (; born 17 October 1980) is a Russian volleyball player.'],0,0.3333333333333333,2,3,"Yekaterina Aleksand Fires Gamova, who was born 17 October 1980, is a retired Russian volleyball player.",0
Yekaterina Gamova,1429,1,"She was a member of the national team that won the gold medals at the 2006 and 2010 FIVB Volleyball Women's World Championships, and the silver medal in both the Athens 2004 and Sydney 2000 Olympic Games.",ssplit,"['She was a member of the Russian team that won the gold medals at the FIVB Volleyball World Championships in 2006 and 2010.', 'She was also a member of the Russian team that won silver medals in both the Athens 2004 and Sydney 2000 Olympic Games.']",1,0.6666666666666666,4,3,#,-1
Yekaterina Gamova,1429,2,"She is 2.06 m tall with EU size 49 feet, making her one of the tallest female athletes in the world Her role was outside hitter/opposite.",ssplit,"['Gamova is 2.02 m tall with an EU shoe size of 49.', 'This makes her one of the tallest female athletes in the world.', 'Her role is outside hitter/opposite.']",3,1.0,5,3,#,-1
"North Canton, Ohio",1495,0,North Canton is a city in Stark County in the U.S. state of Ohio.,rephrase,"['North Canton is a city in Stark County, Ohio, United States.']",0,0.3333333333333333,2,3,Canton is a city in Stark County in the U.S. state of Ohio.,0
"North Canton, Ohio",1495,1,"The population was 17,488 at the 2010 United States Census.",rephrase,"['The population was 17,488 at the 2010 census.']",1,0.6666666666666666,4,3,#,-1
"North Canton, Ohio",1495,2,It is part of the Canton–Massillon metropolitan statistical area.,delete,[],2,1.0,5,3,#,-1
Gomel Region,1516,0,Gomel Region or Homyel’ Voblasc’ is one of the regions of Belarus.,rephrase,['Homiel Voblast or Gomel Oblast is a province (voblast) of Belarus.'],0,0.125,1,8,One region of Belarus is called Gomel Region.,1
Gomel Region,1516,1,Its administrative center is Gomel.,ignore,['Its administrative center is Homyel.'],1,0.25,2,8,#,-1
Gomel Region,1516,2,"The total area of the region is 40400 km2 , the population in 2011 stood at 1,435,000 with the number of inhabitants per km at 36.",delete,[],2,0.375,2,8,#,-1
Gomel Region,1516,3,"Important cities within the region include: Gomel, Mazyr, Zhlobin, Svietlahorsk, Rechytsa, Kalinkavichy, Rahachow, Dobrush.",ignore,"['Important cities in the voblast include: Gomel, Mazyr, Zhlobin, Svetlahorsk, Rechytsia, Kalinkavichy, Rahachow, Dobrush']",2,0.5,3,8,#,-1
Gomel Region,1516,4,Both the Gomel Region and the Mogilev Region suffered severely after the Chernobyl nuclear reactor catastrophe.,rephrase,['Homiel Province and Mahilyow Voblast were hurt severely after the Chernobyl nuclear reactor catastrophe.'],3,0.625,4,8,#,-1
Gomel Region,1516,5,"The Gomel Province borders the Chernobyl Exclusion Zone in places, and parts of it is designated as mandatory or voluntary resettlement areas as a result of the radioactive contamination.",dsplit,"['The Gomel Province borders the Chernobyl Exclusion Zone in places.', 'Part of it is a mandatory or voluntary resettlement areas as a result of the radioactive contamination.']",4,0.75,4,8,#,-1
Gomel Region,1516,6,Gomel Region comprises 21 districts and 2 city municipalities.,delete,[],6,0.875,5,8,#,-1
Gomel Region,1516,7,"The districts comprise 278 selsovets, 17 cities and towns.",rephrase,"['The Homiel Voblast has 21 districts (raions), 278 selsovets, 17 cities, and 8 city municipalities.']",6,1.0,5,8,#,-1
2019 El Paso shooting,1668,0,"A mass shooting occurred at a Walmart store in El Paso, Texas, United States, on the morning of August 3, 2019.",ignore,"['A mass shooting took place at a Walmart store in El Paso, Texas, United States, on the morning of August 3, 2019.']",0,0.125,1,8,"A mass shooting occurred at a Walmart store in El Paso, Texas, on the morning of August 3, 2019.",1
2019 El Paso shooting,1668,1,A gunman shot and killed 22 people and injured 24 others.,rephrase,['A single gunman killed 22 people and injured 24 more.'],1,0.25,2,8,#,-1
2019 El Paso shooting,1668,2,The Federal Bureau of Investigation is investigating the shooting as an act of domestic terrorism and a possible hate crime.,rephrase,['The FBI is investigating the shooting as an act of domestic terrorism and a possible hate crime.'],2,0.375,2,8,#,-1
2019 El Paso shooting,1668,3,"Patrick Wood Crusius was arrested shortly after the shooting started, and was charged with capital murder.",rephrase,"['Patrick Wood Crusius, age 21, was arrested shortly after the shooting began and charged with capital murder.']",3,0.5,3,8,#,-1
2019 El Paso shooting,1668,4,"A 21-year-old white male, he was last known to have lived in his family's home in Allen, Texas, around 650 mi from El Paso.",delete,[],4,0.625,4,8,#,-1
2019 El Paso shooting,1668,5,He graduated in 2017 from Plano Senior High School and was enrolled at Collin College from 2017 until spring 2019.,delete,[],4,0.75,4,8,#,-1
2019 El Paso shooting,1668,6,"The incident was mentioned by Pope Francis during a speech in St. Peter's Square on August 4, in which he condemned attacks on defenseless people and said he was spiritually close to the victims, the wounded, and the families affected by the attacks that had ""bloodied Texas, California, and Ohio"".",delete,[],4,0.875,5,8,#,-1
2019 El Paso shooting,1668,7,"The Gilroy Garlic Festival shooting happened in California around a week before the El Paso shooting, while the 2019 Dayton shooting occurred in Ohio less than 24 hours after.",rephrase,['The 2019 Dayton shooting occurred the following day.'],4,1.0,5,8,#,-1
Colomieu,1706,0,Colomieu is a commune in the Ain department in eastern France.,rephrase,['Colomieu is a commune.'],0,1.0,5,1,Colomieu is a commune in eastern France.,1
Waltz (music),1823,0,"A waltz (German: ""Walzer""; French: ""Valse"", Italian: ""Valzer"", Spanish: ""Vals"", Polish: ""Walc""), probably deriving from German ""Ländler"", is dance music in triple meter, often written in time.",delete,[],0,0.25,2,4,"A waltz (izerizer) is dance music in triple meter, often written in time.",1
Waltz (music),1823,1,"A waltz typically sounds one chord per measure, and the accompaniment style particularly associated with the waltz is (as seen in the example to the right) to play the root of the chord on the first beat, the upper notes on the second and third beats.",ignore,"['Waltzes typically have one chord per measure, and the accompaniment style particularly associated with the waltz is (as seen in the example to the right) to play the root of the chord on the first beat, the upper notes on the second and third beats.']",0,0.5,3,4,#,-1
Waltz (music),1823,2,"In a jazz context, ""waltz"" signifies any piece of music in 3/4 time, whether intended for dancing or not .",rephrase,['Waltz music is written in 3/4 time (three beats per bar).'],1,0.75,4,4,#,-1
Waltz (music),1823,3,"Although there are early examples such as the ""Missouri Waltz"" by Dan and Harvey’s Jazz Band (1918) and the ""Jug Band Waltz"" or the ""Mississippi Waltz"" by the Memphis Jug Band (1928), they are exceptional, as almost all jazz before 1955 was in duple meter.",delete,[],2,1.0,5,4,#,-1
Harvey Keitel,1894,0,"Harvey Keitel ( ; born May 13, 1939) is an American actor and producer.",rephrase,"['Harvey Keitel (born May 13, 1939) is an American actor.']",0,0.5,3,2,"Keitel (; born May 13, 1939) is an American actor and producer.",0
Harvey Keitel,1894,1,"He has starred in films such as ""Mean Streets"" (1973), ""Taxi Driver"" (1976), ""The Duellists"" (1977), ""Bugsy"" (1991), ""Thelma & Louise"" (1991), ""Reservoir Dogs"" (1992), "" Sister Act"" (1992), ""The Piano"" (1993), ""Pulp Fiction"" (1994), ""From Dusk till Dawn"" (1996), ""Cop Land"" (1997), ""Red Dragon"" (2002), ""The Grand Budapest Hotel"" (2014), and ""Isle of Dogs"" (2018).",rephrase,"['He has played in movies such as ""Reservoir Dogs"", ""Pulp Fiction"", ""Smoke"", and ""Thelma and Louise"".']",1,1.0,5,2,#,-1
Service-oriented architecture,2186,0,"Service-oriented architecture (SOA) is a style of software design where services are provided to the other components by application components, through a communication protocol over a network.",rephrase,['Service-oriented architecture (SOA) is a concept in computer programming.'],0,0.5,3,2,,3
Service-oriented architecture,2186,1,"The basic principles of service-oriented architecture are independent of vendors, products and technologies.",delete,[],1,1.0,5,2,#,-1
Pre-shared key,2391,0,"In cryptography, a pre-shared key (PSK) is a shared secret which was previously shared between the two parties using some secure channel before it needs to be used.",ignore,"['In cryptography, a pre-shared key or PSK is a shared secret which was previously shared between the two parties using some secure channel before it is used.']",0,0.0714285714285714,1,14,,3
Pre-shared key,2391,1,"To build a key from shared secret, the key derivation function is typically used.",delete,[],1,0.1428571428571428,1,14,#,-1
Pre-shared key,2391,2,Such systems almost always use symmetric key cryptographic algorithms.,ignore,['Such systems almost always use symmetric key cryptographic algorithms.'],1,0.2142857142857142,2,14,#,-1
Pre-shared key,2391,3,"The term PSK is used in Wi-Fi encryption such as Wired Equivalent Privacy (WEP), Wi-Fi Protected Access (WPA), where the method is called WPA-PSK or WPA2-PSK, and also in the Extensible Authentication Protocol (EAP), where it is known as EAP-PSK.",rephrase,"['The term is used in Wi-Fi encryption such as WEP or WPA, where both the wireless access points (AP) and all clients ""share"" the same key.']",2,0.2857142857142857,2,14,#,-1
Pre-shared key,2391,4,"In all these cases, both the wireless access points (AP) and all clients ""share"" the same key.",delete,[],3,0.3571428571428571,2,14,#,-1
Pre-shared key,2391,5,The characteristics of this secret or key are determined by the system which uses it; some system designs require that such keys be in a particular format.,ignore,['The characteristics of this secret or key are determined by the system which uses it; some system require that such keys be in a specific format.'],3,0.4285714285714285,3,14,#,-1
Pre-shared key,2391,6,"It can be a password, a passphrase, or a hexadecimal string.",rephrase,"[""It can be a password like 'bret13i', a passphrase like 'Idaho hung gear id gene', or a hexadecimal string like '65E4 E556 8622 EEE1'.""]",4,0.5,3,14,#,-1
Pre-shared key,2391,7,The secret is used by all systems involved in the cryptographic processes used to secure the traffic between the systems.,ignore,['The secret is used by all systems involved in the cryptographic processes used to secure the traffic between the systems.'],5,0.5714285714285714,3,14,#,-1
Pre-shared key,2391,8,Crypto systems rely on one or more keys for confidentiality.,delete,[],6,0.6428571428571429,4,14,#,-1
Pre-shared key,2391,9,"One particular attack is always possible against keys, the brute force key space search attack.",delete,[],6,0.7142857142857143,4,14,#,-1
Pre-shared key,2391,10,"A sufficiently long, randomly chosen, key can resist any practical brute force attack, though not in principle if an attacker has sufficient computational power (see password strength and password cracking for more discussion).",delete,[],6,0.7857142857142857,4,14,#,-1
Pre-shared key,2391,11,"Unavoidably, however, pre-shared keys are held by both parties to the communication, and so can be compromised at one end, without the knowledge of anyone at the other.",delete,[],6,0.8571428571428571,5,14,#,-1
Pre-shared key,2391,12,"There are several tools available to help one choose strong passwords, though doing so over any network connection is inherently unsafe as one cannot in general know who, if anyone, may be eavesdropping on the interaction.",rephrase,['There are several tools available to help one choose a strong key.'],6,0.9285714285714286,5,14,#,-1
Pre-shared key,2391,13,"Choosing keys used by cryptographic algorithms is somewhat different in that any pattern whatsoever should be avoided, as any such pattern may provide an attacker with a lower effort attack than brute force search.",delete,[],7,1.0,5,14,#,-1
Interleukin 2,2457,0,Aldesleukin is a form of recombinant interleukin-2.,rephrase,['Interleukin-2 is a form of Interleukin.'],0,0.5,3,2,,3
Interleukin 2,2457,1,It is manufactured using recombinant DNA technology and is marketed as a protein therapeutic and branded as Proleukin.,delete,[],1,1.0,5,2,#,-1
Nightmare disorder,2490,0,"Nightmare disorder, also known as dream anxiety disorder, is a sleep disorder characterized by frequent nightmares.",ignore,"['Nightmare disorder, also known as ""dream anxiety disorder"", is a sleep disorder characterized by frequent nightmares.']",0,0.25,2,4,,3
Nightmare disorder,2490,1,"The nightmares, which often portray the individual in a situation that jeopardizes their life or personal safety, usually occur during the REM stages of sleep.",rephrase,"['The nightmares, which often portray the individual in a situation that jeopardizes their life or personal safety, usually occur during the second half of the sleeping process, called the REM stage.']",1,0.5,3,4,#,-1
Nightmare disorder,2490,2,"Though most people have experienced at least one nightmare during their life, subjects with nightmare disorder experience them with a greater frequency.",rephrase,"['Though such nightmares occur within many people, those with nightmare disorder experience them with a greater frequency.']",2,0.75,4,4,#,-1
Nightmare disorder,2490,3,The disorder's DSM-IV number is 307.47.,ignore,"[""The disorder's DSM-IV number is 307.47.""]",3,1.0,5,4,#,-1
Gesves,2829,0,"Gesves (] ; Walloon: ""Djeve"") is a Walloon municipality located in the Belgian province of Namur.",rephrase,['Gesves is a municipality in the Belgian province of Namur.'],0,0.5,3,2,"[] ; Walloon: ""Djeve"" is a Walloon area located in the Belgian province of Namur.",0
Gesves,2829,1,"This municipality contains the town of Gesves, as well as the villages of Faulx-Les-Tombes, Haltinne, Mozet, and Sorée.",delete,[],1,1.0,5,2,#,-1
John Wall (inventor),2866,0,"John Wall (26 June 1932 – 27 January 2018) was an English design engineer, amateur astronomer, amateur telescope maker and member of the British Astronomical Association.",ssplit,"['John Wall (26 June 1932 – 27 January 2018) was an English design engineer, amateur astronomer, and amateur telescope maker.', 'He was a member of the British Astronomical Association until his death in 2018.']",0,0.2,1,5,Wall (26 June 1932 – 27 January 2018) was an English design engineer and amateur astronomer. He is also a member of the British Astronomical Association.,2
John Wall (inventor),2866,1,"He lived in Coventry, England.",delete,[],2,0.4,2,5,#,-1
John Wall (inventor),2866,2,"He is also known for designing dialyte based refracting telescopes, coming up with the ""Zerochromat"" retrofocally corrected refractor, including a folded 30-inch f/12 version he built in 1999.",rephrase,"['He was known for designing dialyte based refracting telescopes, coming up with the ""Zerochromat"".']",2,0.6,3,5,#,-1
John Wall (inventor),2866,3,This refracting telescope is the largest ever built by an individual and the equal fifth-largest refractor ever built.,delete,[],3,0.8,4,5,#,-1
John Wall (inventor),2866,4,Wall died on 27 January 2018.,rephrase,"['Wall died on 27 January 2018 in Coventry, Warwickshire at the age of 85.']",3,1.0,5,5,#,-1
Edward D. DiPrete,2948,0,"Edward Daniel DiPrete (born July 8, 1934) is an American Republican Party politician and convicted felon from Rhode Island.",rephrase,"['Edward Daniel DiPrete (born July 8, 1934) is an American Republican Party politician from Rhode Island.']",0,0.3333333333333333,2,3,"Born July 8, 1934, DiPrete is an American Republican Party politician.",1
Edward D. DiPrete,2948,1,"He served as the 70th Governor of Rhode Island for three two-year terms, serving from 1985 to 1991.",ignore,"['He served as the 70th Governor of Rhode Island for three two-year terms, serving from 1985 to 1991.']",1,0.6666666666666666,4,3,#,-1
Edward D. DiPrete,2948,2,"Convicted of numerous corruption charges, he is the only Rhode Island governor to have gone to prison.",delete,[],2,1.0,5,3,#,-1
Disney Television Animation,3018,0,"Disney Television Animation (DTVA) is an American animation studio that creates, develops and produces animated television series, films, specials and other projects.",rephrase,"['Disney Television Animation (DTVA) is the television animation production arm of the Disney Channels Worldwide dedicated to creating, developing and producing animated television series, films, specials and other projects.']",0,0.3333333333333333,2,3,"Television Animation (DTVA) is an American animation studio. It creates, develops and produces animated television series, films, specials and other projects.",2
Disney Television Animation,3018,1,"It is a division of the Disney Channels Worldwide, ultimately owned by The Walt Disney Company.",delete,[],1,0.6666666666666666,4,3,#,-1
Disney Television Animation,3018,2,"Established in 1984 during the reorganization and subsequent re-incorporation of The Walt Disney Company following the arrival of then-Disney CEO Michael Eisner, the entity was formerly known as the Walt Disney Pictures Television Animation Group before being shortened to Walt Disney Television Animation in 1987, and was shortened again in 2011 to Disney Television Animation.",rephrase,"['Made in 1984 during the reorganization and Was brought back in to The Walt Disney Company following the arrival of then-Disney CEO Michael Eisner, it was known as The Walt Disney Pictures Television Animation Group, the name was then changed and shortened to Walt Disney Television Animation starting in 1987 and was its name up until 2011, when it has been shortened again to Disney Television Animation.']",1,1.0,5,3,#,-1
Hannes Löhr,3026,0,Johannes Löhr (5 July 1942 – 29 February 2016) was a German international football player and manager.,rephrase,['Hannes Löhr (5 July 1942 – 29 February 2016) is a former German football player.'],0,1.0,5,1,Classmates Loesshr (5 July 1942 – 29 February 2016) was a German international football player and manager.,1
Hans Spemann,3115,0,"Hans Spemann (27 June 1869 – 9 September 1941) was a German embryologist who was awarded a Nobel Prize in Physiology or Medicine in 1935 for his discovery of the effect now known as embryonic induction, an influence, exercised by various parts of the embryo, that directs the development of groups of cells into particular tissues and organs.",ssplit,"['Hans Spemann (27 June 1869 – 9 September 1941) was a German doctor.', ""He won the 1935 Nobel Prize in Physiology or Medicine, for his discovery of the 'organizer effect' in embryonic development""]",0,0.5,3,2,Spemann (27 June 1869 – 9 September 1941) was a German scientist who became famous in 1935 for his discovery of how the body develops cells.,1
Hans Spemann,3115,1,"From 1919 Spemann was Professor of Zoology at the University of Freiburg-im-Breisgau, where he continued his line of enquiry until in 1937 he was relieved of his post to be replaced by one of his first students, Otto Mangold.",delete,[],2,1.0,5,2,#,-1
Chera dynasty,3121,0,The Chera dynasty (Cēra) was one of the principal lineages in the early history of the present day states of Kerala and Tamil Nadu in southern India.,ssplit,"['The Chera dynasty (Tamil: சேரர் Malayalam: േചര ) was one of the ancient Tamil dynasties who ruled the southern India from ancient times until around the fifteenth century CE.', 'The Early Cheras ruled over the Malabar Coast, Coimbatore, Karur and Salem Districts in South India, which now forms part of the modern day Kerala and Tamil Nadu states of India.']",0,0.5,3,2,It was one of the main lineages in the early history of India.,1
Chera dynasty,3121,1,"Together with the Cholas of Uraiyur and the Pandyas of Madurai, the early Cheras were known as one of the three major powers (muventar) of ancient Tamilakam (a macro region in south India) in the early centuries of the Common Era.",delete,[],2,1.0,5,2,#,-1
Tetracontagon,3140,0,"In geometry, a tetracontagon or tessaracontagon is a forty-sided polygon or 40-gon.",rephrase,['A tetracontagon or 40-gon is a shape with 40 sides and 40 corners.'],0,0.2,1,5,"In geometry, a tetracontagon is a 40-gon.",1
Tetracontagon,3140,1,The sum of any tetracontagon's interior angles is 6840 degrees.,delete,[],1,0.4,2,5,#,-1
Tetracontagon,3140,2,"One interior angle in a regular tetracontagon is 171°, meaning that one exterior angle would be 9°.",rephrase,['Each corner is 171°.'],1,0.6,3,5,#,-1
Tetracontagon,3140,3,The area of a regular tetracontagon is (with ),rephrase,['The amount of space a regular tetracontagon takes up is'],2,0.8,4,5,#,-1
Tetracontagon,3140,4,The circumradius of a regular tetracontagon is,delete,[],3,1.0,5,5,#,-1
Champs-Élysées,3173,0,"The Avenue des Champs-Élysées ( , , ] ) is an avenue in the 8th arrondissement of Paris, France, 1.9 km long and 70 m wide, running between the Place de la Concorde and the Place Charles de Gaulle, where the Arc de Triomphe is located.",ssplit,"['The Champs-Élysées is a long and very famous street in Paris.', 'It links the Arc de Triomphe and the Place de la Concorde.']",0,0.25,2,4,"The Avenue des Champs-E condors is an avenue in the 8th arrondissement of Paris, France. It is 1.9 kilometers long and 70 m wide. It runs between the Place de la Concorde and the Place Charles de cartle, where the Arc de Triomphe is located.",2
Champs-Élysées,3173,1,"It is known for its theatres, cafés, and luxury shops, for the annual Bastille Day military parade, and as the finish of the Tour de France cycle race.",delete,[],2,0.5,3,4,#,-1
Champs-Élysées,3173,2,"On 20 April 2017, a police officer was shot dead on the Champs-Élysées by an extremist and two other officers were injured.",rephrase,"['On 20 April 2017, two ISIS-claimed gunmen opened fired and killed one police officer and injured another at Champs-Élysées.']",2,0.75,4,4,#,-1
Champs-Élysées,3173,3,"They were all sitting in a parked police van, when the attacker pulled up in front of the van.",delete,[],3,1.0,5,4,#,-1
Statistical population,3316,0,"In statistics, a population is a set of similar items or events which is of interest for some question or experiment.",rephrase,"['In statistics, a population is a set of things from which samples may be drawn.']",0,0.5,3,2,,3
Statistical population,3316,1,A statistical population can be a group of existing objects (e.g. the set of all stars within the Milky Way galaxy) or a hypothetical and potentially infinite group of objects conceived as a generalization from experience (e.g. the set of all possible hands in a game of poker).,delete,[],1,1.0,5,2,#,-1
Wu Zetian,3321,0,Wu was the concubine of Emperor Taizong.,ignore,['Wu was a concubine of Emperor Taizong.'],0,0.125,1,8,Wu was the wife of Emperor Taizong.,1
Wu Zetian,3321,1,"After his death, she married his successor—his ninth son, Emperor Gaozong, officially becoming Gaozong's ""huanghou"" (皇后, empress consort, title for the reigning emperor's main consort) in 655, although having considerable political power prior to this.",rephrase,"['After his death, she married his successor and 9th son, Emperor Gaozong in 655.']",1,0.25,2,8,#,-1
Wu Zetian,3321,2,"After Gaozong's debilitating stroke in 660, Wu Zetian became administrator of the court, a position equal to the emperor's until 705.",rephrase,"[""After Gaozong's stroke in 660, Wu Zetian ruled as effective sovereign until 705.""]",2,0.375,2,8,#,-1
Wu Zetian,3321,3,"Since the time of Qin Shi Huang (259–210 BC) the Emperor of China used the title ""huangdi"" (皇帝, translated as ""emperor"" or ""empress (regnant)"" as appropriate).",delete,[],3,0.5,3,8,#,-1
Wu Zetian,3321,4,"Wu Zetian was the only woman in the history of China to assume the title of ""huangdi"".",delete,[],3,0.625,4,8,#,-1
Wu Zetian,3321,5,"Her tenure as de facto ruler of China and officially regent Tang dynasty (first through her husband and then through her sons, from 665 to 690) was not without precedent in Chinese history; however, she broke precedent when she founded her own dynasty in 690, the Zhou (周) (interrupting the Tang dynasty), ruling personally under the name Sacred and Divine Huangdi (聖神皇帝), and variations thereof, from 690 through 705.",delete,[],3,0.75,4,8,#,-1
Wu Zetian,3321,6,"Wu Zetian proclaimed herself as the ruler of the ""Zhou dynasty"", named after the historical Zhou dynasty (1046–256 BC); and, thus, from 690 to 705 the Chinese Empire was known as the Zhou dynasty.",rephrase,"['She ruled under the name of her self-proclaimed Zhou Dynasty, from 690 to 705.']",3,0.875,5,8,#,-1
Wu Zetian,3321,7,"The traditional historical view, however, is to discount Wu's ""Zhou dynasty"": dynasties by definition involve the succession of rulers from one family: Wu's ""Zhou dynasty"" was founded by her, and ended within her lifetime, with her abdication (705).",delete,[],4,1.0,5,8,#,-1
